lex,lex_arb,root,def,src,id,lex_uncorrected,pg,dialect,phon,Cv,sem,ref,pos,etym,lex_arb2,def_arb,measure,imalah
ʕāli (f. ʕālya),,ʕLY,high [65 It also means “north” in Wādī Banī Kharūṣ.],Morano 2019,1941,,313,,,,praxis,,n,,,,,
ʕamd,,ʕMD,"intention, purpose [R.41]",Morano 2019,1942,,313,,,,[empty],Reinhardt 1894,n,,,,,
ʕamāde,,ʕMD,"purposely, intentionally, wittingly",Morano 2019,1943,,313,,,,[empty],,adv,,,,,
ʕamar / yuʕmur,,ʕMR,(v.t.) to be the caretaker of sth.,Morano 2019,1944,,313,,,,[empty],,v,,,,,
ʕumur,,ʕMR,age,Morano 2019,1945,,313,,,,[empty],,n,,,,,
ʕamal / yaʕmal,,ʕML,to work,Morano 2019,1946,,313,,,,[empty],,v,,,,,
staʕmal / yistaʕmal,,ʕML,(X) to use,Morano 2019,1947,,313,,,,[empty],,v,,,,,
ʕāmil / ʕommāl,,ʕML,"worker, employee [R.72]",Morano 2019,1948,,313,,,,occupations,Reinhardt 1894,n,,,,,
ʕamal / aʕmal,,ʕML,"job, work",Morano 2019,1949,,313,,,,occupations,,n,,,,,
ʕamm / ʕomūme,,ʕMM,uncle (from father’s side) [R.74],Morano 2019,1950,,313,,,,kinship & marriage,Reinhardt 1894,n,,,,,
ʕamāma,,ʕMM,turban,Morano 2019,1951,,313,,,,clothing,,n,,,,,
ʕāmme,,ʕMM,in general,Morano 2019,1952,,313,,,,[empty],,adv,,,,,
ʕam(m)ti / ʕammāti,,ʕMM,aunt (from father’s side),Morano 2019,1953,,313,,,,kinship & marriage,,n,,,,,
ʕomān,,ʕMN,(f.) Oman,Morano 2019,1954,,313,,,,topo,,n,,,,,
ʕan,,ʕN,"from, according to, because of, to, for, on behalf of, except that, without against, instead of",Morano 2019,1955,,313,,,,[empty],,n,,,,,
ʕinab,,ʕNB,grapes,Morano 2019,1956,,313,,,,plants : fruits,,n,,,,,
ʕanfe / ʕunf,,ʕNF,lobe,Morano 2019,1957,,313,,,,anatomy,,n,,,,,
ʕanfūf,,ʕNFF,small bat,Morano 2019,1958,,313,,,,fauna,,n,,,,,
ʕankabūt /ʕanākib,,ʕNKB,spider,Morano 2019,1959,,313,,,,fauna : insects,,n,,,,,
yaʕni,,ʕNY,"that is, that is to say",Morano 2019,1960,,313,,,,[empty],,part,,,,,
maʕne,,ʕNY,"meaning, sense",Morano 2019,1961,,313,,,,[empty],,n,,,,,
ʕābye / ʕawābi,,ʕWB,"cultivated soil, cropland [R.73]",Morano 2019,1962,,313,,,,agriculture,Reinhardt 1894,n,,,,,
tʕēweǧ / yitʕēweǧ,,ʕWǦ,(VI) to skew,Morano 2019,1963,,313,,,,[empty],,v,,,,,
ʕōd,,ʕWD,"big, huge (obs.) [R.61]",Morano 2019,1964,,313,,,,shape,Reinhardt 1894,adj,,,,,
ʕōd / ʕīdān,,ʕWD,"branch, node, stalk [R.73]",Morano 2019,1965,,313,,,,plants,Reinhardt 1894,n,,,,,
ʕūd,,ʕWD,lute,Morano 2019,1966,,313,,,,recreation,,n,,,,,
ʕowor / yoʕwor,,ʕWR,to be blind [R.134],Morano 2019,1967,,313,,,,diseases,Reinhardt 1894,v,,,,,
ʕawwar,,ʕWR,(II; t.v.) to hurt (cf. CA “to damage”),Morano 2019,1968,,313,,,,diseases,,v,,,,,
tʕawwar,,ʕWR,"(V) to hurt, to be painful, to hurt oneself",Morano 2019,1969,,313,,,,diseases,,v,,,,,
ʕawar,,ʕWR,pain,Morano 2019,1970,,313,,,,diseases,,n,,,,,
ʕawār,,ʕWR,"blindness, wound or recovering wound",Morano 2019,1971,,313,,,,diseases,,n,,,,,
ʕewar (f. ʕawra),,ʕWR,blind [R.63],Morano 2019,1972,,313,,,,diseases,Reinhardt 1894,adj,,,,,
ʕawīz (f. ʕawza),,ʕWZ,"bent, curved",Morano 2019,1973,,314,,,,[empty],,adj,,,,,
ʕūs,,ʕWS,wolf,Morano 2019,1974,,314,,,,fauna,,n,,,,,
ʕawaḍ,,ʕWḌ,"instead, instead of",Morano 2019,1975,,314,,,,[empty],,n,,,,,
ʕawwaq,,ʕWQ,"(II) to get sick, ill",Morano 2019,1976,,314,,,,diseases,,n,,,,,
iʕtawaq,,ʕWQ,"(VIII) to be sick, ill",Morano 2019,1977,,314,,,,diseases,,n,,,,,
ʕōq,,ʕWQ,"sickness, disease",Morano 2019,1978,,314,,,,diseases,,n,,,,,
ʕāwiq (f. ʕāwwiqa),,ʕWQ,"sick, ill, wick [sic]",Morano 2019,1979,,314,,,,diseases,,n,,,,,
ʕawāl,,ʕWL,dried fish [N.90],Morano 2019,1980,,314,,,,food,,n,,,,,
ʕūma,,ʕWM,sardines,Morano 2019,1981,,314,,,,fauna : marine,,n,,,,,
ʕowwān / ʕawāwin,,ʕWN,palm grove,Morano 2019,1982,,314,,,,plants : palms,,n,,,,,
mwāʕīn,,ʕWN,"(coll.) tablewares, cutlery",Morano 2019,1983,,314,,,,household : kitchen,,n,,,,,
ʕīd / ʕyād,,ʕYD,"to celebrate, to feast",Morano 2019,1984,,314,,,,religion + food,,n,,,,,
ʕād,,ʕYD,"correct, right!",Morano 2019,1985,,314,,,,[empty],,n,,,,,
ʕayār / ʕayāyir,,ʕYR,"dodger, idler",Morano 2019,1986,,314,,,,[empty],,n,,,,,
ʕāš / yʕīš,,ʕYŠ,to live,Morano 2019,1987,,314,,,,[empty],,v,,,,,
istaʕīš,,ʕYŠ,(X) to earn a livelihood,Morano 2019,1988,,314,,,,occupations,,n,,,,,
ʕīš ~ ʕayš,,ʕYŠ,"susteneance, food (“rice” in Oman)",Morano 2019,1989,,314,,,,food,,n,,,,,
ʕām,,ʕYM,year,Morano 2019,1990,,314,,,,calendar,,n,,,,,
ʕēn / ʕoyūn,,ʕYN,"(f.) eye, spring",Morano 2019,1991,,314,,,,anatomy + geography,,n,,,,,
ʕowēne / -āt,,ʕYN,brook,Morano 2019,1992,,314,,,,geography,,n,,,,,
ʕayy / yʕia,,ʕYY,to get tired,Morano 2019,1993,,314,,,,[empty],,v,,,,,
ʕayyān,,ʕYY,tired [R.52],Morano 2019,1994,,314,,,,[empty],Reinhardt 1894,n,,,,,
ġāġā,,ĠʔĠʔ,"Mentha Longifolia [66 Aromatic perennial herb that can grow up to 50cm. It is used to preserve delicate fruit, such as grapes or būt, when it is carried in locally-made baskets from the mountains down to local markets.]",Morano 2019,1995,,314,,,,plant generics,,n,,,,,
ġēbor,,ĠBR,sparrow,Morano 2019,1996,,314,,,,fauna : birds,,n,,,,,
ġabār,,ĠBR,dust,Morano 2019,1997,,314,,,,earth,,n,,,,,
ġbar (f. ġabra),,ĠBR,ashy,Morano 2019,1998,,314,,,,[empty],,adj,,,,,
ġabše,,ĠBŠ,daily (obs.) [R.113],Morano 2019,1999,,314,,,,[empty],Reinhardt 1894,adj/adv,,,,,
ġabša,,ĠBŠ,"(f.) dusk, early morning",Morano 2019,2000,,314,,,,calendar,,n,,,,,
ġabbī,,ĠBY,"stupid, dumb",Morano 2019,2001,,314,,,,[empty],,adj,,,,,
ġatar / yoġtor,,ĠTR,to deceive [R.129],Morano 2019,2002,,315,,,,[empty],Reinhardt 1894,v,,,,,
ġattār / ġatātir,,ĠTR,trickster,Morano 2019,2003,,315,,,,[empty],,n,,,,,
ġtem (f. ġatme),,ĠTM,stutterer,Morano 2019,2004,,315,,,,[empty],,adj,,,,,
ġadē,,ĠDʔ,lunch,Morano 2019,2005,,315,,,,food,,n,,,,,
ġadef / yoġduf,,ĠDF,"to jump high, + ʕale to break into",Morano 2019,2006,,315,,,,[empty],,v,,,,,
ġadf,,ĠDF,"above, across, on the other side",Morano 2019,2007,,315,,,,[empty],,n,,,,,
il-ġadfi,,ĠDF,"the maximum, the highest",Morano 2019,2008,,315,,,,[empty],,n,,,,,
ġadfa,,ĠDF,"(f.) long woman’s veil [67 Usually worn with a second veil, called lesō.]",Morano 2019,2009,,315,,,,clothing,,n,,,,,
ġādi,,ĠDY,"distant, far away, ahead, over there",Morano 2019,2010,,315,,,,[empty],,n,,,,,
fil ġādi ~ min hene (bākor) w-ġādi ~ min ḥīn u ġādi,,ĠDY,"from now on, henceforth",Morano 2019,2011,,315,,,,[empty],,n,,,,,
ġarbī,,ĠRB1,west-wind,Morano 2019,2012,,315,,,,weather,,n,,,,,
ġarb,,ĠRB1,West,Morano 2019,2013,,315,,,,praxis,,n,,,,,
ġrāb / ġurbān,,ĠRB2,crow [R.73] [N.92],Morano 2019,2014,,315,,,,fauna,Reinhardt 1894,n,,,,,
ġarīb / ġurb,,ĠRB2,"guest, foreigner",Morano 2019,2015,,315,,,,[empty],,n,,,,,
ġarr / yġurr,,ĠRR,"(II) to betray, to cheat, to deceive",Morano 2019,2016,,315,,,,[empty],,v,,,,,
ġarše / ġraš,,ĠRŠ,bottle [R.57],Morano 2019,2017,,315,,,,kitchen + tools,Reinhardt 1894,n,,,,,
ġarġar / yiġarġor,,ĠRĠR,to rattle (cf. GA ġarġar “to gargle”),Morano 2019,2018,,315,,,,[empty],,v,,,,,
ġurġur,,ĠRĠR,"peas [68 Only used by the speaker within the al-ʕAwābī district. Elsewhere, they use basilla.]",Morano 2019,2019,,315,,,,plants (edible),,n,,,,,
ġaraf / yoġruf,,ĠRF,to pour into another vase [R.129],Morano 2019,2020,,315,,,,[empty],Reinhardt 1894,v,,,,,
ġurfe / ġraf,,ĠRF,(f.) room [R.70],Morano 2019,2021,,315,,,,household,Reinhardt 1894,n,,,,,
muġrāf,,ĠRF,jug,Morano 2019,2022,,315,,,,household : kitchen,,n,,,,,
ġroq / yoġroq,,ĠRQ,"to sink, to be drowned [R.134]",Morano 2019,2023,,315,,,,[empty],Reinhardt 1894,v,,,,,
ġazāl / ġizlān,,ĠZL,"antelope, gazelle",Morano 2019,2024,,315,,,,fauna,,n,,,,,
ġasal / yuġsil,,ĠSL,"to wash, to clean",Morano 2019,2025,,315,,,,[empty],,v,,,,,
ġišš,,ĠŠŠ,"dirt, filth",Morano 2019,2026,,315,,,,[empty],,n,,,,,
ġašya,,ĠŠY,(f.) gastritis,Morano 2019,2027,,315,,,,diseases,,n,,,,,
ġḍub / yoġḍub,,ĠḌB,to be angry,Morano 2019,2028,,315,,,,emotions,,v,,,,,
ġaḍḍ,,ĠḌḌ,"unripe, raw [B.167]",Morano 2019,2029,,315,,,,[empty],,n,,,,,
ġaṭṭā / yġaṭṭi,,ĠṬṬ,to lay,Morano 2019,2030,,315,,,,[empty],,v,,,,,
ġāfri / ġāfriye,,ĠFR,"military efficiency, tribe name",Morano 2019,2031,,315,,,,[empty],,n,,,,,
mitġāfil,,ĠFL,"forgetful, absent-minded",Morano 2019,2032,,315,,,,[empty],,n,,,,,
ġafla,,ĠFL,suddenly,Morano 2019,2033,,316,,,,[empty],,adv,,,,,
ġuffe,,ĠFF,"(f.) chaff, tatch, straw",Morano 2019,2034,,316,,,,[empty],,n,,,,,
ġaffāy,,ĠFY,sleepyhead,Morano 2019,2035,,316,,,,[empty],,n,,,,,
ġaleb / yoġlub,,ĠLB,"to win, to defeat [R.145]",Morano 2019,2036,,316,,,,[empty],Reinhardt 1894,v,,,,,
ġilbīye,,ĠLB,defeat,Morano 2019,2037,,316,,,,[empty],,n,,,,,
ġluq (f. ġilqa),,ĠLQ,hard to understand [R.63],Morano 2019,2038,,316,,,,[empty],Reinhardt 1894,n,,,,,
ġalle,,ĠLL,"(f.) hollow, room [R.57]",Morano 2019,2039,,316,,,,[empty],Reinhardt 1894,n,,,,,
ġlām,,ĠLM,"boy, lad",Morano 2019,2040,,316,,,,[empty],,n,,,,,
ġale,,ĠLY,expensive,Morano 2019,2041,,316,,,,[empty],,n,,,,,
ġalyūn,,ĠLYN,tobacco for waterpipe (< Pers. ġalyūn “waterpipe”; cf. YA ġalyūn “pipe”),Morano 2019,2042,,316,,,,[empty],,n,,,,,
ġmor / yoġmor,,ĠMR,"to faint, to pass out [R.135]",Morano 2019,2043,,316,,,,[empty],Reinhardt 1894,v,,,,,
ġomrān / ġomrārīn,,ĠMR,unconscious,Morano 2019,2044,,316,,,,[empty],,n,,,,,
ġmeš (f. ġamše),,ĠMŠ,shortsighted [R.63],Morano 2019,2045,,316,,,,[empty],Reinhardt 1894,n,,,,,
ġamma / ġamām,,ĠMM,(f.) cloud,Morano 2019,2046,,316,,,,weather,,n,,,,,
tġanḍar / yitġanḍer,,ĠNḌR,(tQ) to faint,Morano 2019,2047,,316,,,,[empty],,v,,,,,
ġanma / ġunum,,ĠNM,goat,Morano 2019,2048,,316,,,,livestock,,n,,,,,
ġanem,,ĠNM,"(coll.) goats, sheep",Morano 2019,2049,,316,,,,livestock,,n,,,,,
ġani / ġinye,,ĠNY1,"rich, wealthy",Morano 2019,2050,,316,,,,money,,adj,,,,,
ġanna / yġanni,,ĠNY2,"to sing, to recite",Morano 2019,2051,,316,,,,[empty],,v,,,,,
ġāzi / ġwāzi,,ĠWZ,"money, cash",Morano 2019,2052,,316,,,,money,,n,,,,,
ġūl / ġīlān,,ĠWL,"snake (cf. CA ġūl “evil spirit, ogre”) [R.42]",Morano 2019,2053,,316,,,,fauna,Reinhardt 1894,n,,,,,
ġūwyān,,ĠWY,by mistake [Rein.],Morano 2019,2054,,316,,,,[empty],,adj/adv,,,,,
ġāwi (f. ġāwiye),,ĠWY,"beautiful, excellent (obs.) [R.62]",Morano 2019,2055,,316,,,,[empty],Reinhardt 1894,adj,,,,,
eġwe,,ĠWY,more beautiful,Morano 2019,2056,,316,,,,[empty],,adj,,,,,
ġāb / yġīb,,ĠYB,"to get astray, lost",Morano 2019,2057,,316,,,,[empty],,v,,,,,
ġār / yġār,,ĠYR,"to envy, to be jealous",Morano 2019,2058,,316,,,,[empty],,v,,,,,
ġayyar / yġayyar,,ĠYR,"(II) to exchange, to change",Morano 2019,2059,,316,,,,[empty],,v,,,,,
ġēr,,ĠYR,"other, different",Morano 2019,2060,,316,,,,[empty],,adj,,,,,
ġēr,,ĠYR,"except, without",Morano 2019,2061,,316,,,,[empty],,prep,,,,,
ġēr inno,,ĠYR,unless,Morano 2019,2062,,316,,,,[empty],,subord conj,,,,,
min ġēr,,ĠYR,"without, but",Morano 2019,2063,,316,,,,[empty],,n,,,,,
ġēm / ġyām,,ĠYM,cloud,Morano 2019,2064,,316,,,,weather,,n,,,,,
fār,,FʔR,mouse,Morano 2019,2065,,317,,,,fauna,,n,,,,,
fataḥ / yuftaḥ,,FTḤ,to open,Morano 2019,2066,,317,,,,[empty],,v,,,,,
miftāḥ / mafātiḥ ~ mfātiḥ,,FTḤ,key,Morano 2019,2067,,317,,,,household + transportation,,n,,,,,
fatak / yuftik,,FTK,"to pick (fruit), harvest",Morano 2019,2068,,317,,,,[empty],,v,,,,,
fitne / ften,,FTN,"(f.) intrigue, conspiracy, plot, dispute [R.70]",Morano 2019,2069,,317,,,,[empty],Reinhardt 1894,n,,,,,
fettān,,FTN,intriguing,Morano 2019,2070,,317,,,,[empty],,n,,,,,
fagr,,FǦR,dawn,Morano 2019,2071,,317,,,,calendar,,n,,,,,
fgil,,FǦL,radish,Morano 2019,2072,,317,,,,plants (edible),,n,,,,,
faḥar / yufḥor,,FḤR,to scarpe with pews (cow) [R.129] [sic],Morano 2019,2073,,317,,,,[empty],Reinhardt 1894,v,,,,,
faḫaḏ /fḫūḏ,,FḪḎ,thigh [N.6],Morano 2019,2074,,317,,,,anatomy,,n,,,,,
farrūg,,FRǦ,"little bird, birdie",Morano 2019,2075,,317,,,,fauna : birds,,n,,,,,
faraḥ / yufraḥ,,FRḤ,"to be joyful, happy, glad",Morano 2019,2076,,317,,,,emotions,,v,,,,,
forḥān (f. forḥāna),,FRḤ,"glad, happy, joyful",Morano 2019,2077,,317,,,,emotions,,n,,,,,
farraḥ,,FRḤ,pop-corn,Morano 2019,2078,,317,,,,food,,n,,,,,
farraḫ / yifarraḫ,,FRḪ,"(II) to blossom, to bloom [B.170]",Morano 2019,2079,,317,,,,[empty],,v,,,,,
forāḫa,,FRḪ,(f.) flower,Morano 2019,2080,,317,,,,fauna,,n,,,,,
farḫ / frūḫ,,FRḪ,"a teen, young boy",Morano 2019,2081,,317,,,,humans,,n,,,,,
farḫa / -āt,,FRḪ,"a teen, young girl",Morano 2019,2082,,317,,,,humans,,n,,,,,
frad (f. farde),,FRD,one-eyed [R.63],Morano 2019,2083,,317,,,,diseases,Reinhardt 1894,adj,,,,,
fard / -īn,,FRD,eyeglass,Morano 2019,2084,,317,,,,clothing : accessories,,n,,,,,
firār,,FRR,(VN) fleeing,Morano 2019,2085,,317,,,,[empty],,n,,,,,
faras,,FRS,"(f.) mare, horse",Morano 2019,2086,,317,,,,livestock,,n,,,,,
fāris / fursān,,FRS,knight,Morano 2019,2087,,317,,,,occupations,,n,,,,,
faraš / yufriš,,FRŠ,to spread,Morano 2019,2088,,317,,,,[empty],,v,,,,,
farāša,,FRŠ,(f.) butterfly,Morano 2019,2089,,317,,,,fauna,,n,,,,,
frāš / furš,,FRŠ,"carpet, rug",Morano 2019,2090,,317,,,,household,,n,,,,,
furṣāḍ,,FRṢḌ,(coll.) berries,Morano 2019,2091,,317,,,,plants : fruits,,n,,,,,
furḍa,,FRḌ,(f.) customs office/house,Morano 2019,2092,,317,,,,[empty],,n,,,,,
farīḍa / ferāyoḍ,,FRḌ,"percentage, salary, wage",Morano 2019,2093,,317,,,,numbers + money,,n,,,,,
farfur / yifarfur,,FRFR,to flutter,Morano 2019,2094,,317,,,,[empty],,v,,,,,
ferfūr / frāfir,,FRFR,wing,Morano 2019,2095,,317,,,,anatomy,,n,,,,,
tfarraq / yitfarraq,,FRQ,"(V) to separate, to part",Morano 2019,2096,,318,,,,[empty],,v,,,,,
tfārq / yitfāroq,,FRQ,"(VI) to divorce [R.172, tfārqo]",Morano 2019,2097,,318,,,,kinship & marriage,Reinhardt 1894,v,,,,,
farqa,,FRQ,(f.) parting (hair),Morano 2019,2098,,318,,,,[empty],,n,,,,,
mefraq,,FRQ,"crossroads, fork",Morano 2019,2099,,318,,,,[empty],,n,,,,,
mafraq,,FRQ,head ornament [69 This is a jewel positioned on the parting that embellish the forehead.],Morano 2019,2100,,318,,,,clothing : accessories,,n,,,,,
tfarqaʕ / yitfarqoʕ,,FRQʕ,(tQ) to rattle (of fire),Morano 2019,2101,,318,,,,[empty],,v,,,,,
ferkūn / ferākīn,,FRKN,knuckle,Morano 2019,2102,,318,,,,anatomy,,n,,,,,
furn,,FRN,oven,Morano 2019,2103,,318,,,,household : kitchen,,n,,,,,
fransīsi,,FRNS,French,Morano 2019,2104,,318,,,,[empty],,n,,,,,
fazāʕa,,FZʕ,scarecrow [70 Also called waʕār in al-ʕAwābī. It is made with bones of animals.],Morano 2019,2105,,318,,,,agriculture,,n,,,,,
festqī,,FSTQ,fluorescent green,Morano 2019,2106,,318,,,,colors,,n,,,,,
fasaḫ / yufsaḫ,,FSḪ,"to take off, to move out [R.144]",Morano 2019,2107,,318,,,,[empty],Reinhardt 1894,v,,,,,
feskūl,,FSKL,middle finger (swear word),Morano 2019,2108,,318,,,,anatomy,,n,,,,,
fešš,,FŠŠ,cuttle-fish,Morano 2019,2109,,318,,,,fauna : marine,,n,,,,,
faṣḫ,,FṢḪ,"sth. that guarantees the authenticity, authentic [R.41]",Morano 2019,2110,,318,,,,[empty],Reinhardt 1894,n,,,,,
foḍḍa,,FḌḌ,silver,Morano 2019,2111,,318,,,,materials,,n,,,,,
faṭḫa / fṭāḫ,,FṬḤ,buttock,Morano 2019,2112,,318,,,,anatomy,,n,,,,,
fuṭūr,,FṬR,breakfast,Morano 2019,2113,,318,,,,food,,n,,,,,
faṭan / yifṭan,,FṬN,"(v.t.) to assess, to consider, to understand [R.252]",Morano 2019,2114,,318,,,,[empty],Reinhardt 1894,v,,,,,
faṭūn (f. faṭūna),,FṬN,shrewd,Morano 2019,2115,,318,,,,[empty],,adj,,,,,
tfaḍḍal (f. tfaḍḍli),,FḌL,please,Morano 2019,2116,,318,,,,[empty],,part,,,,,
faʕā / foʕyān,,FʕY,(f.) snake,Morano 2019,2117,,318,,,,fauna,,n,,,,,
faqīr / fuqarā,,FQR,poor,Morano 2019,2118,,318,,,,money,,adj,,,,,
faqḥa,,FQḤ,anus,Morano 2019,2119,,318,,,,anatomy,,n,,,,,
tfaqfaq / yitfafoq,,FQFQ,(tQ) to cackle (with laughter),Morano 2019,2120,,318,,,,[empty],,v,,,,,
fteker / yuftkor,,FKR,"(VIII; VN fetkār) to think, to believe",Morano 2019,2121,,318,,,,[empty],,v,,,,,
muftkor,,FKR,"thinker, scholar",Morano 2019,2122,,318,,,,[empty],,n,,,,,
fawākih,,FKH,(coll.) fruit,Morano 2019,2123,,318,,,,plants : fruits,,n,,,,,
fulūs,,FLS,(coll.) money,Morano 2019,2124,,318,,,,money,,n,,,,,
fallat / yfallit,,FLT,(II) to untie,Morano 2019,2125,,318,,,,[empty],,v,,,,,
feleg / aflāg,,FLǦ,"traditional gravity-fed irrigation system, stream, flow",Morano 2019,2126,,318,,,,agriculture,,n,,,,,
filfil,,FLFL,"pepper, chili [corrected]",Morano 2019,2127,,318,,,,plants (edible),,n,,,,,
filfil rūmī,,FLFL,green pepper,Morano 2019,2128,,319,,,,plants (edible),,n,,,,,
felaq / yuflaq,,FLQ,"to cut, to split",Morano 2019,2129,,319,,,,[empty],,v,,,,,
fam,,FM,mouth,Morano 2019,2130,,319,,,,anatomy,,n,,,,,
fingān / fanāgīn,,FNǦN,coffee cup,Morano 2019,2131,,319,,,,household : kitchen,,n,,,,,
findāl / fanādil,,FNDL,sweet potato [R.55],Morano 2019,2132,,319,,,,occupations,Reinhardt 1894,n,,,,,
fanzūz,,FNZZ,weevil,Morano 2019,2133,,319,,,,fauna : insects,,n,,,,,
finniš,,FNŠ,"(II) to get fired, to resigne, to get retired (< Eng. finish) [sic]",Morano 2019,2134,,319,,,,[empty],,n,,,,,
fahaq / yufhaq,,FHQ,"to hiccup, to sob [R.145]",Morano 2019,2135,,319,,,,[empty],Reinhardt 1894,v,,,,,
fhum / yifhum,,FHM,to understand,Morano 2019,2136,,319,,,,[empty],,v,,,,,
fehūm (f. fehūme),,FHM,"wise, clever",Morano 2019,2137,,319,,,,[empty],,adj,,,,,
fāge,,FWǦ,(f.) stable,Morano 2019,2138,,319,,,,[empty],,n,,,,,
fwaḥ,,FWḤ,"flat, plane",Morano 2019,2139,,319,,,,[empty],,n,,,,,
efwaḥ,,FWḤ,"flatter, (adv.) beyond",Morano 2019,2140,,319,,,,[empty],,adv,,,,,
tfōḫa / yitfōḫa,,FWḪ,(VI) to sit straddling [R.172],Morano 2019,2141,,319,,,,[empty],Reinhardt 1894,v,,,,,
fwād / fūde,,FWD,"soul, feeling [R.72]",Morano 2019,2142,,319,,,,[empty],Reinhardt 1894,n,,,,,
fōra,,FWR,(f.) steel,Morano 2019,2143,,319,,,,materials,,n,,,,,
fwāri,,FWR,raw,Morano 2019,2144,,319,,,,food,,adj,,,,,
fūra / fūrāt,,FWR,"corner, edge",Morano 2019,2145,,319,,,,[empty],,n,,,,,
fōfil,,FWFL,"nutmeg [cf. R.44, fōfel]",Morano 2019,2146,,319,,,,spices,,n,,,,,
fōq,,FWQ,"(prep.) on, upstairs, (adv.) above, top",Morano 2019,2147,,319,,,,[empty],,prep,,,,,
al-fōq,,FWQ,"the highest, maximum",Morano 2019,2148,,319,,,,[empty],,n,,,,,
fōq baʕaḍ . . . baʕaḍ,,FWQ,upside down,Morano 2019,2149,,319,,,,[empty],,adv,,,,,
fī,,FY,"in, inside, at, on, near",Morano 2019,2150,,319,,,,[empty],,prep,,,,,
fī kill mekān,,FY,everywhere,Morano 2019,2151,,319,,,,[empty],,adv,,,,,
fīh,,FY,there is/are,Morano 2019,2152,,319,,,,function words,,part,,,,,
fīf,,FYF,pipe (< Eng.),Morano 2019,2153,,319,,,,[empty],,n,,,,,
fīfāy,,FYFY,papaya (fruit/tree) (< Port.) [71 Asimina Triloba.],Morano 2019,2154,,319,,,,plants : fruits,,n,,,,,
fīl / fyēle,,FYL,elephant,Morano 2019,2155,,319,,,,fauna,,n,,,,,
qāl / yiqūl,,QʔL,"to say, to tell",Morano 2019,2156,,320,,,,[empty],,v,,,,,
qubb / yiqubb,,QBB,make a dome,Morano 2019,2157,,320,,,,[empty],,n,,,,,
qabīb (f. qabībe),,QBB,"small, narrow (of space)",Morano 2019,2158,,320,,,,[empty],,adj,,,,,
qabb / qbūb,,QBB,stick [R.72],Morano 2019,2159,,320,,,,[empty],Reinhardt 1894,n,,,,,
qubbe / qbīb,,QBB,dome,Morano 2019,2160,,320,,,,[empty],,n,,,,,
qabīḥ,,QBḤ,"mean, ugly",Morano 2019,2161,,320,,,,[empty],,adj,,,,,
stoqbād,,QBD,receipt,Morano 2019,2162,,320,,,,[empty],,n,,,,,
qabar / yoqbar,,QBR,to bury,Morano 2019,2163,,320,,,,[empty],,v,,,,,
qabur / qbūr,,QBR,grave,Morano 2019,2164,,320,,,,[empty],,n,,,,,
maqbara,,QBR,"graveyard [cf. R.50, mqubra]",Morano 2019,2165,,320,,,,[empty],,n,,,,,
qabil,,QBL,before,Morano 2019,2166,,320,,,,[empty],,prep,,,,,
qabil,,QBL,at the beginning,Morano 2019,2167,,320,,,,[empty],,adv,,,,,
mqābil,,QBL,in front of,Morano 2019,2168,,320,,,,[empty],,prep,,,,,
min qabil,,QBL,"before, otherwise",Morano 2019,2169,,320,,,,[empty],,adv,,,,,
qibla,,QBL,the direction of Mekkah,Morano 2019,2170,,320,,,,praxis,,n,,,,,
qabūle,,QBL,chicken/lamb soup (served with rice) [72 Typical Omani dish.],Morano 2019,2171,,320,,,,food : traditional dishes,,n,,,,,
qabīla / qabāyil,,QBL,tribe,Morano 2019,2172,,320,,,,kinship & marriage,,n,,,,,
qatt,,QTT,"clover, trefoil, alfalfa [R.41]",Morano 2019,2173,,320,,,,plants,Reinhardt 1894,n,,,,,
qatdīl el-baḥr,,QTDL,jellyfish [sic: qandīl?],Morano 2019,2174,,320,,,,fauna : marine,,n,,,,,
qatel / yoqtil,,QTL,to kill,Morano 2019,2175,,320,,,,[empty],,v,,,,,
tqātl / yitqātl,,QTL,(VI) to defend (with weapons),Morano 2019,2176,,320,,,,war & weapons,,v,,,,,
qatīl / qitle,,QTL,"killed, murdered",Morano 2019,2177,,320,,,,[empty],,n,,,,,
qoḥḥ,,QḤḤ,"genuine, pure, real, straight, true",Morano 2019,2178,,320,,,,[empty],,n,,,,,
qaḥf / qḥāfe,,QḤF,fragments [R.75],Morano 2019,2179,,320,,,,[empty],Reinhardt 1894,n,,,,,
qḥom / yoqḥum,,QḤM,"(VN qḥūm) to descend, to come down (obs.) [R.135]",Morano 2019,2180,,320,,,,[empty],Reinhardt 1894,v,,,,,
qadar / yuqador,,QDR,to be able to,Morano 2019,2181,,320,,,,[empty],,v,,,,,
qador / -āt,,QDR,(f.) earthen pot [cf. R.43],Morano 2019,2182,,320,,,,[empty],,n,,,,,
maqdra,,QDR,power,Morano 2019,2183,,320,,,,[empty],,n,,,,,
qadar,,QDR,"about, more or less [R.119]",Morano 2019,2184,,320,,,,[empty],Reinhardt 1894,n,,,,,
qadaf / yiqduf,,QDF,to row,Morano 2019,2185,,320,,,,[empty],,v,,,,,
muqdāf / mqādīf,,QDF,"oar, paddle",Morano 2019,2186,,321,,,,nautical,,n,,,,,
qdum / yuqdem,,QDM,to grow old [R.146],Morano 2019,2187,,321,,,,[empty],Reinhardt 1894,v,,,,,
qadīm,,QDM,old,Morano 2019,2188,,321,,,,[empty],,adj,,,,,
qiddām,,QDM,"in advance, in front of, forward",Morano 2019,2189,,321,,,,[empty],,prep,,,,,
